snapshot_date,center_id,sku,available_stock,reserved_stock
2024-05-20,NADOR,SKU_00001,148,3
2024-05-20,NADOR,SKU_00002,225,39
2024-05-20,NADOR,SKU_00003,147,25
2024-05-20,NADOR,SKU_00004,137,2
2024-05-20,NADOR,SKU_00005,312,12
2024-05-20,NADOR,SKU_00006,115,28
2024-05-20,NADOR,SKU_00007,75,25
2024-05-20,NADOR,SKU_00008,194,11
2024-05-20,NADOR,SKU_00009,197,11
2024-05-20,NADOR,SKU_00010,102,15
2024-05-20,NADOR,SKU_00011,61,8
2024-05-20,NADOR,SKU_00012,215,10
2024-05-20,NADOR,SKU_00013,335,41
2024-05-20,NADOR,SKU_00014,218,25
2024-05-20,NADOR,SKU_00015,269,38
2024-05-20,NADOR,SKU_00016,133,17
2024-05-20,NADOR,SKU_00017,449,1
2024-05-20,NADOR,SKU_00018,85,14
2024-05-20,NADOR,SKU_00019,291,40
2024-05-20,NADOR,SKU_00020,254,12
2024-05-20,NADOR,SKU_00021,494,19
2024-05-20,NADOR,SKU_00022,341,25
2024-05-20,NADOR,SKU_00023,135,1
2024-05-20,NADOR,SKU_00024,322,45
2024-05-20,NADOR,SKU_00025,371,19
2024-05-20,NADOR,SKU_00026,182,5
2024-05-20,NADOR,SKU_00027,432,7
2024-05-20,NADOR,SKU_00028,118,25
2024-05-20,NADOR,SKU_00029,128,39
2024-05-20,NADOR,SKU_00030,324,44
2024-05-20,NADOR,SKU_00031,402,10
2024-05-20,NADOR,SKU_00032,403,27
2024-05-20,NADOR,SKU_00033,58,27
2024-05-20,NADOR,SKU_00034,289,5
2024-05-20,NADOR,SKU_00035,372,10
2024-05-20,NADOR,SKU_00036,244,14
2024-05-20,NADOR,SKU_00037,460,39
2024-05-20,NADOR,SKU_00038,204,22
2024-05-20,NADOR,SKU_00039,150,17
2024-05-20,NADOR,SKU_00040,154,1
2024-05-20,NADOR,SKU_00041,257,7
2024-05-20,NADOR,SKU_00042,234,5
2024-05-20,NADOR,SKU_00043,266,18
2024-05-20,NADOR,SKU_00044,495,9
2024-05-20,NADOR,SKU_00045,382,0
2024-05-20,NADOR,SKU_00046,292,4
2024-05-20,NADOR,SKU_00047,443,14
2024-05-20,NADOR,SKU_00048,220,19
2024-05-20,NADOR,SKU_00049,82,27
2024-05-20,NADOR,SKU_00050,98,22
2024-05-20,NADOR,SKU_00051,157,10
2024-05-20,NADOR,SKU_00052,56,31
2024-05-20,NADOR,SKU_00053,294,8
2024-05-20,NADOR,SKU_00054,437,26
2024-05-20,NADOR,SKU_00055,309,5
2024-05-20,NADOR,SKU_00056,452,32
2024-05-20,NADOR,SKU_00057,308,41
2024-05-20,NADOR,SKU_00058,476,0
2024-05-20,NADOR,SKU_00059,224,46
2024-05-20,NADOR,SKU_00060,187,42
2024-05-20,NADOR,SKU_00061,301,32
2024-05-20,NADOR,SKU_00062,336,32
2024-05-20,NADOR,SKU_00063,443,37
2024-05-20,NADOR,SKU_00064,237,29
2024-05-20,NADOR,SKU_00065,484,3
2024-05-20,NADOR,SKU_00066,372,43
2024-05-20,NADOR,SKU_00067,447,37
2024-05-20,NADOR,SKU_00068,200,24
2024-05-20,NADOR,SKU_00069,106,33
2024-05-20,NADOR,SKU_00070,415,2
2024-05-20,NADOR,SKU_00071,197,49
2024-05-20,NADOR,SKU_00072,294,42
2024-05-20,NADOR,SKU_00073,203,10
2024-05-20,NADOR,SKU_00074,279,22
2024-05-20,NADOR,SKU_00075,222,34
2024-05-20,NADOR,SKU_00076,474,13
2024-05-20,NADOR,SKU_00077,375,30
2024-05-20,NADOR,SKU_00078,341,15
2024-05-20,NADOR,SKU_00079,219,13
2024-05-20,NADOR,SKU_00080,467,5
2024-05-20,NADOR,SKU_00081,196,44
2024-05-20,NADOR,SKU_00082,258,49
2024-05-20,NADOR,SKU_00083,291,26
2024-05-20,NADOR,SKU_00084,302,3
2024-05-20,NADOR,SKU_00085,149,48
2024-05-20,NADOR,SKU_00086,340,19
2024-05-20,NADOR,SKU_00087,443,42
2024-05-20,NADOR,SKU_00088,436,48
2024-05-20,NADOR,SKU_00089,180,43
2024-05-20,NADOR,SKU_00090,196,28
2024-05-20,NADOR,SKU_00091,52,31
2024-05-20,NADOR,SKU_00092,295,11
2024-05-20,NADOR,SKU_00093,230,27
2024-05-20,NADOR,SKU_00094,441,42
2024-05-20,NADOR,SKU_00095,242,0
2024-05-20,NADOR,SKU_00096,83,20
2024-05-20,NADOR,SKU_00097,466,37
2024-05-20,NADOR,SKU_00098,223,30
2024-05-20,NADOR,SKU_00099,89,20
2024-05-20,NADOR,SKU_00100,108,14
2024-05-20,NADOR,SKU_00101,301,10
2024-05-20,NADOR,SKU_00102,124,42
2024-05-20,NADOR,SKU_00103,482,6
2024-05-20,NADOR,SKU_00104,392,27
2024-05-20,NADOR,SKU_00105,441,20
2024-05-20,NADOR,SKU_00106,219,32
2024-05-20,NADOR,SKU_00107,142,1
2024-05-20,NADOR,SKU_00108,183,38
2024-05-20,NADOR,SKU_00109,51,17
2024-05-20,NADOR,SKU_00110,193,7
2024-05-20,NADOR,SKU_00111,274,13
2024-05-20,NADOR,SKU_00112,91,4
2024-05-20,NADOR,SKU_00113,414,7
2024-05-20,NADOR,SKU_00114,144,44
2024-05-20,NADOR,SKU_00115,82,5
2024-05-20,NADOR,SKU_00116,399,48
2024-05-20,NADOR,SKU_00117,377,24
2024-05-20,NADOR,SKU_00118,286,28
2024-05-20,NADOR,SKU_00119,390,31
2024-05-20,NADOR,SKU_00120,194,27
2024-05-20,NADOR,SKU_00121,126,38
2024-05-20,NADOR,SKU_00122,62,45
2024-05-20,NADOR,SKU_00123,288,38
2024-05-20,NADOR,SKU_00124,335,1
2024-05-20,NADOR,SKU_00125,263,37
2024-05-20,NADOR,SKU_00126,310,0
2024-05-20,NADOR,SKU_00127,189,46
2024-05-20,NADOR,SKU_00128,350,31
2024-05-20,NADOR,SKU_00129,211,10
2024-05-20,NADOR,SKU_00130,354,9
2024-05-20,NADOR,SKU_00131,353,44
2024-05-20,NADOR,SKU_00132,471,44
2024-05-20,NADOR,SKU_00133,71,32
2024-05-20,NADOR,SKU_00134,452,13
2024-05-20,NADOR,SKU_00135,195,5
2024-05-20,NADOR,SKU_00136,92,23
2024-05-20,NADOR,SKU_00137,320,5
2024-05-20,NADOR,SKU_00138,74,7
2024-05-20,NADOR,SKU_00139,484,9
2024-05-20,NADOR,SKU_00140,381,15
2024-05-20,NADOR,SKU_00141,63,46
2024-05-20,NADOR,SKU_00142,100,45
2024-05-20,NADOR,SKU_00143,57,39
2024-05-20,NADOR,SKU_00144,300,31
2024-05-20,NADOR,SKU_00145,327,28
2024-05-20,NADOR,SKU_00146,231,0
2024-05-20,NADOR,SKU_00147,353,5
2024-05-20,NADOR,SKU_00148,52,29
2024-05-20,NADOR,SKU_00149,437,40
2024-05-20,NADOR,SKU_00150,352,30
2024-05-20,NADOR,SKU_00151,162,1
2024-05-20,NADOR,SKU_00152,380,25
2024-05-20,NADOR,SKU_00153,368,26
2024-05-20,NADOR,SKU_00154,142,6
2024-05-20,NADOR,SKU_00155,88,40
2024-05-20,NADOR,SKU_00156,336,2
2024-05-20,NADOR,SKU_00157,375,16
2024-05-20,NADOR,SKU_00158,482,35
2024-05-20,NADOR,SKU_00159,411,22
2024-05-20,NADOR,SKU_00160,369,28
2024-05-20,NADOR,SKU_00161,132,20
2024-05-20,NADOR,SKU_00162,119,33
2024-05-20,NADOR,SKU_00163,251,20
2024-05-20,NADOR,SKU_00164,428,37
2024-05-20,NADOR,SKU_00165,250,48
2024-05-20,NADOR,SKU_00166,324,43
2024-05-20,NADOR,SKU_00167,166,38
2024-05-20,NADOR,SKU_00168,92,24
2024-05-20,NADOR,SKU_00169,75,39
2024-05-20,NADOR,SKU_00170,120,26
2024-05-20,NADOR,SKU_00171,463,5
2024-05-20,NADOR,SKU_00172,379,27
2024-05-20,NADOR,SKU_00173,204,10
2024-05-20,NADOR,SKU_00174,233,27
2024-05-20,NADOR,SKU_00175,471,4
2024-05-20,NADOR,SKU_00176,252,28
2024-05-20,NADOR,SKU_00177,172,10
2024-05-20,NADOR,SKU_00178,225,4
2024-05-20,NADOR,SKU_00179,193,42
2024-05-20,NADOR,SKU_00180,476,4
2024-05-20,NADOR,SKU_00181,95,42
2024-05-20,NADOR,SKU_00182,368,2
2024-05-20,NADOR,SKU_00183,398,14
2024-05-20,NADOR,SKU_00184,86,41
2024-05-20,NADOR,SKU_00185,240,12
2024-05-20,NADOR,SKU_00186,193,22
2024-05-20,NADOR,SKU_00187,408,12
2024-05-20,NADOR,SKU_00188,326,49
2024-05-20,NADOR,SKU_00189,253,43
2024-05-20,NADOR,SKU_00190,92,26
2024-05-20,NADOR,SKU_00191,351,43
2024-05-20,NADOR,SKU_00192,321,48
2024-05-20,NADOR,SKU_00193,302,19
2024-05-20,NADOR,SKU_00194,249,6
2024-05-20,NADOR,SKU_00195,315,34
2024-05-20,NADOR,SKU_00196,332,38
2024-05-20,NADOR,SKU_00197,165,3
2024-05-20,NADOR,SKU_00198,350,29
2024-05-20,NADOR,SKU_00199,133,38
2024-05-20,NADOR,SKU_00200,380,14
2024-05-20,NADOR,SKU_00201,214,38
2024-05-20,NADOR,SKU_00202,348,36
2024-05-20,NADOR,SKU_00203,437,46
2024-05-20,NADOR,SKU_00204,233,44
2024-05-20,NADOR,SKU_00205,476,45
2024-05-20,NADOR,SKU_00206,419,2
2024-05-20,NADOR,SKU_00207,386,28
2024-05-20,NADOR,SKU_00208,404,34
2024-05-20,NADOR,SKU_00209,414,14
2024-05-20,NADOR,SKU_00210,342,43
2024-05-20,NADOR,SKU_00211,310,49
2024-05-20,NADOR,SKU_00212,289,7
2024-05-20,NADOR,SKU_00213,322,42
2024-05-20,NADOR,SKU_00214,487,25
2024-05-20,NADOR,SKU_00215,304,1
2024-05-20,NADOR,SKU_00216,479,17
2024-05-20,NADOR,SKU_00217,425,46
2024-05-20,NADOR,SKU_00218,460,34
2024-05-20,NADOR,SKU_00219,379,47
2024-05-20,NADOR,SKU_00220,236,12
2024-05-20,NADOR,SKU_00221,160,39
2024-05-20,NADOR,SKU_00222,92,14
2024-05-20,NADOR,SKU_00223,496,26
2024-05-20,NADOR,SKU_00224,133,35
2024-05-20,NADOR,SKU_00225,102,22
