snapshot_date,center_id,sku,available_stock,reserved_stock
2024-05-20,OUJDA,SKU_00001,466,35
2024-05-20,OUJDA,SKU_00002,147,43
2024-05-20,OUJDA,SKU_00003,274,14
2024-05-20,OUJDA,SKU_00004,233,46
2024-05-20,OUJDA,SKU_00005,364,18
2024-05-20,OUJDA,SKU_00006,229,31
2024-05-20,OUJDA,SKU_00007,370,42
2024-05-20,OUJDA,SKU_00008,156,41
2024-05-20,OUJDA,SKU_00009,200,19
2024-05-20,OUJDA,SKU_00010,407,30
2024-05-20,OUJDA,SKU_00011,150,5
2024-05-20,OUJDA,SKU_00012,64,38
2024-05-20,OUJDA,SKU_00013,105,20
2024-05-20,OUJDA,SKU_00014,394,26
2024-05-20,OUJDA,SKU_00015,166,11
2024-05-20,OUJDA,SKU_00016,422,42
2024-05-20,OUJDA,SKU_00017,80,31
2024-05-20,OUJDA,SKU_00018,492,48
2024-05-20,OUJDA,SKU_00019,232,7
2024-05-20,OUJDA,SKU_00020,76,46
2024-05-20,OUJDA,SKU_00021,86,22
2024-05-20,OUJDA,SKU_00022,182,12
2024-05-20,OUJDA,SKU_00023,156,13
2024-05-20,OUJDA,SKU_00024,80,35
2024-05-20,OUJDA,SKU_00025,70,31
2024-05-20,OUJDA,SKU_00026,160,39
2024-05-20,OUJDA,SKU_00027,63,26
2024-05-20,OUJDA,SKU_00028,249,24
2024-05-20,OUJDA,SKU_00029,499,17
2024-05-20,OUJDA,SKU_00030,97,27
2024-05-20,OUJDA,SKU_00031,422,28
2024-05-20,OUJDA,SKU_00032,220,39
2024-05-20,OUJDA,SKU_00033,378,48
2024-05-20,OUJDA,SKU_00034,373,37
2024-05-20,OUJDA,SKU_00035,190,36
2024-05-20,OUJDA,SKU_00036,113,26
2024-05-20,OUJDA,SKU_00037,131,44
2024-05-20,OUJDA,SKU_00038,276,12
2024-05-20,OUJDA,SKU_00039,303,29
2024-05-20,OUJDA,SKU_00040,416,18
2024-05-20,OUJDA,SKU_00041,389,21
2024-05-20,OUJDA,SKU_00042,191,37
2024-05-20,OUJDA,SKU_00043,175,39
2024-05-20,OUJDA,SKU_00044,496,29
2024-05-20,OUJDA,SKU_00045,416,37
2024-05-20,OUJDA,SKU_00046,448,21
2024-05-20,OUJDA,SKU_00047,438,46
2024-05-20,OUJDA,SKU_00048,347,5
2024-05-20,OUJDA,SKU_00049,133,14
2024-05-20,OUJDA,SKU_00050,425,22
2024-05-20,OUJDA,SKU_00051,200,42
2024-05-20,OUJDA,SKU_00052,255,34
2024-05-20,OUJDA,SKU_00053,343,27
2024-05-20,OUJDA,SKU_00054,56,33
2024-05-20,OUJDA,SKU_00055,131,4
2024-05-20,OUJDA,SKU_00056,118,47
2024-05-20,OUJDA,SKU_00057,387,36
2024-05-20,OUJDA,SKU_00058,326,45
2024-05-20,OUJDA,SKU_00059,150,30
2024-05-20,OUJDA,SKU_00060,317,33
2024-05-20,OUJDA,SKU_00061,454,37
2024-05-20,OUJDA,SKU_00062,306,47
2024-05-20,OUJDA,SKU_00063,201,2
2024-05-20,OUJDA,SKU_00064,223,12
2024-05-20,OUJDA,SKU_00065,331,42
2024-05-20,OUJDA,SKU_00066,480,1
2024-05-20,OUJDA,SKU_00067,355,0
2024-05-20,OUJDA,SKU_00068,477,18
2024-05-20,OUJDA,SKU_00069,277,32
2024-05-20,OUJDA,SKU_00070,261,27
2024-05-20,OUJDA,SKU_00071,124,23
2024-05-20,OUJDA,SKU_00072,348,9
2024-05-20,OUJDA,SKU_00073,115,8
2024-05-20,OUJDA,SKU_00074,367,32
2024-05-20,OUJDA,SKU_00075,201,17
2024-05-20,OUJDA,SKU_00076,492,7
2024-05-20,OUJDA,SKU_00077,176,22
2024-05-20,OUJDA,SKU_00078,71,9
2024-05-20,OUJDA,SKU_00079,50,25
2024-05-20,OUJDA,SKU_00080,142,14
2024-05-20,OUJDA,SKU_00081,308,0
2024-05-20,OUJDA,SKU_00082,247,38
2024-05-20,OUJDA,SKU_00083,229,38
2024-05-20,OUJDA,SKU_00084,204,34
2024-05-20,OUJDA,SKU_00085,215,7
2024-05-20,OUJDA,SKU_00086,432,35
2024-05-20,OUJDA,SKU_00087,120,20
2024-05-20,OUJDA,SKU_00088,448,17
2024-05-20,OUJDA,SKU_00089,129,42
2024-05-20,OUJDA,SKU_00090,135,12
2024-05-20,OUJDA,SKU_00091,266,31
2024-05-20,OUJDA,SKU_00092,348,41
2024-05-20,OUJDA,SKU_00093,382,29
2024-05-20,OUJDA,SKU_00094,215,30
2024-05-20,OUJDA,SKU_00095,190,34
2024-05-20,OUJDA,SKU_00096,353,48
2024-05-20,OUJDA,SKU_00097,217,38
2024-05-20,OUJDA,SKU_00098,92,26
2024-05-20,OUJDA,SKU_00099,134,31
2024-05-20,OUJDA,SKU_00100,270,27
2024-05-20,OUJDA,SKU_00101,408,8
2024-05-20,OUJDA,SKU_00102,144,29
2024-05-20,OUJDA,SKU_00103,116,18
2024-05-20,OUJDA,SKU_00104,392,34
2024-05-20,OUJDA,SKU_00105,217,28
2024-05-20,OUJDA,SKU_00106,396,49
2024-05-20,OUJDA,SKU_00107,191,39
2024-05-20,OUJDA,SKU_00108,336,10
2024-05-20,OUJDA,SKU_00109,50,35
